VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	GENE_NAMES
REACTOME_THE_CITRIC_ACID_TCA...	SET	5	1.2011	0.079863	0.45965	0.0045471	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	NDUFC1,LRPPRC,ME3,NUBPL,PDK1
REACTOME_COMPLEX_I_BIOGENESIS	SET	2	1.8514	0.07796	0.72608	0.0054548	REACTOME_COMPLEX_I_BIOGENESIS	NDUFC1,NUBPL
REACTOME_ION_CHANNEL_TRANSPO...	SET	20	0.58309	0.077018	0.23135	0.0059315	REACTOME_ION_CHANNEL_TRANSPORT	ANO2,NEDD4L,ATP9A,TRPC7,TRPM3,NALCN,ASIC2,SGK1,TRPM6,ATP8B3,ATP8A2,TRPC4,ANO3,RIPK1,CAMK2D,ATP2B2,TRPV6,WNK2,SLC9C1,RYR3
REACTOME_RESPIRATORY_ELECTRO...1	SET	3	1.4214	0.073269	0.59316	0.008365	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	NDUFC1,LRPPRC,NUBPL
REACTOME_RESPIRATORY_ELECTRO...2	SET	3	1.4214	0.073269	0.59316	0.008365	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	NDUFC1,LRPPRC,NUBPL
REACTOME_HOST_INTERACTIONS_O...	SET	6	0.98989	0.072067	0.42079	0.0094128	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	AP2B1,RBX1,PSMC1,PSMD11,DOCK2,PSMD6
REACTOME_LONG_TERM_POTENTIAT...	SET	6	0.96401	0.070182	0.41998	0.01095	REACTOME_LONG_TERM_POTENTIATION	LRRC7,CAMK2D,DLG2,NRG1,ERBB4,GRIN2B
REACTOME_STIMULI_SENSING_CHA...	SET	15	0.59291	0.067976	0.26681	0.013236	REACTOME_STIMULI_SENSING_CHANNELS	ANO2,NEDD4L,TRPC7,TRPM3,NALCN,ASIC2,SGK1,TRPM6,TRPC4,ANO3,RIPK1,TRPV6,WNK2,SLC9C1,RYR3
REACTOME_NUCLEAR_SIGNALING_B...	SET	4	1.1322	0.067362	0.5138	0.01388	REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	NRG1,NRG2,ERBB4,WWOX
REACTOME_GLUTAMATE_NEUROTRAN...	SET	3	1.2161	0.062688	0.59332	0.020318	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	SLC1A3,SLC1A1,SLC1A2
