GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
118424       1    1189292    1209234      1       1  100      0.43012      0.33355
199990       1    2115899    2144159      1       1  100      -2.2662      0.98828
63976        1    2985565    3355185      1       1  100     -0.39792      0.65466
1953         1    3404506    3528059      1       1  100      0.86728      0.19289
83715        1    6484836    6521004      1       1  100    -0.033615      0.51341
23261        1    6845384    7829766      2       1  100    -0.029652      0.51183
2023         1    8921059    8939151      1       1  100      0.38558       0.3499
378708       1   10489944   10510239      1       1  100      -1.1287      0.87048
100526739    1   10490159   10512060      1       1  100      -1.1287      0.87048
54897        1   10696661   10856733      1       1  100      -0.5607       0.7125
943          1   12123434   12204264      1       1  100      0.43774      0.33079
23254        1   14219646   15444544      1       1  100      0.54167      0.29402
9696         1   17248445   17299474      1       1  100      0.69161      0.24459
84966        1   18434240   18704977      1       1  100      0.19124      0.42417
23065        1   19542158   19578053      1       1  100     -0.36899      0.64393
832          1   19665267   19812066      1       1  100      0.31374      0.37686
127731       1   20617412   20681662      1       1  100      0.14884      0.44084
79570        1   31652592   31712734      1       1  100      -1.7679      0.96146
114784       1   33979609   34631443      1       1  100      0.12293      0.45108
5538         1   40538382   40563142      1       1  100      0.62307      0.26662
22955        1   41492871   41707815      1       1  100      -1.6132      0.94665
59269        1   41972036   42501596      1       1  100      -1.5374      0.93791
55182        1   44870837   45117396      1       1  100       0.5525       0.2903
8569         1   47023079   47069966      1       1  100      -1.6392      0.94942
23358        1   55532032   55681039      1       1  100       0.2884      0.38652
1600         1   57460453   58716211      3       2  100      -1.7131      0.95665
55277        1   59762625   60228402      1       1  100      -1.8677       0.9691
85440        1   62920397   63154039      2       1  100      0.64986      0.25789
84938        1   63249777   63330941      1       1  100      0.94337      0.17275
29929        1   63833261   63904233      1       1  100      -0.1294      0.55148
5236         1   64058947   64125916      1       1  100      -2.2662      0.98828
55225        1   65210778   65298915      2       1  100      0.68982      0.24516
5142         1   66258193   66840262      2       1  100     -0.26242       0.6035
84251        1   66999066   67210768      1       1  100      0.28507       0.3878
200132       1   67217978   67244730      1       1  100      -1.1646      0.87791
57554        1   70033230   70589171      2       1  100    -0.040412      0.51612
204962       1   75667816   76081698      1       1  100      -1.6115      0.94646
4438         1   76262556   76379581      1       1  100      0.26255      0.39645
256435       1   76540389   77100311      2       1  100      0.17589      0.43019
100505741    1   84971902   85022150      1       1  100     -0.74668      0.77237
2959         1   89318321   89357301      1       1  100      -1.6115      0.94646
164045       1   91726323   91870426      1       1  100      0.14211       0.4435
8412         1   94027343   94312706      1       1  100       2.0552      0.01993
126969       1   95285898   95360803      1       1  100      -0.2618      0.60326
148534       1   95582894   95663163      1       1  100       1.4672     0.071157
100527978    1   95583479   95710511      1       1  100       1.4672     0.071157
1806         1   97543299   98386615      1       1  100       1.2096      0.11322
51375        1   99127236   99226056      1       1  100       0.2477      0.40218
178          1  100315633  100389579      1       1  100     -0.84702      0.80151
148867       1  101361632  101552821      1       1  100     -0.59393      0.72372
10451        1  108113782  108507545      2       1  100      -2.6697       0.9962
284612       1  110009100  110024764      1       1  100      0.69728      0.24281
2773         1  110091186  110138465      1       1  100      -1.0023       0.8419
6847         1  115397455  115537991      1       1  100      -1.0272      0.84783
647135       1  143915897  144094426      1       1  100       1.1641      0.12219
6282         1  152004982  152009511      1       1  100    -0.096891      0.53859
3570         1  154377669  154441926      1       1  100     -0.77987      0.78227
50717        1  160185505  160232350      1       1  100     0.049725      0.48017
9722         1  162039581  162339813      1       1  100      0.41455      0.33924
8490         1  163112089  163291581      1       1  100     0.082442      0.46715
223          1  165631449  165667900      1       1  100     -0.30872      0.62123
5451         1  167190066  167396582      1       1  100      -2.5978      0.99531
9019         1  167691187  167761156      1       1  100     -0.83172      0.79722
23432        1  168048780  168106905      1       1  100     -0.78368      0.78339
22920        1  169890461  170043882      1       1  100      0.55617      0.28905
26052        1  171810618  172387606      1       1  100       1.1833      0.11834
92346        1  172389828  172437969      1       1  100     -0.56509        0.714
7292         1  173152870  173176471      1       1  100     -0.26123      0.60304
9910         1  174128552  174964445      1       1  100     -0.77233      0.78004
7143         1  175291935  175712752      1       1  100      -1.2736      0.89861
